question_id,question,correct_answer,ssrm_ownership,key_facts_expected,source,expected_flag,trap,matching_past_answer
A&A-02.1,Are independent audit and assurance assessments conducted according to relevant standards at least annually?,Yes,CSP-owned,ISO/IEC 27001:2022 certified since May 2024; annual external surveillance audit by accredited certification body; annual internal audit,InfoSec §2,green,,VQ-01
AIS-04.1,"Is a secure SDLC process defined and implemented for application requirements analysis, planning, design, development, testing, deployment, and operation per organizationally designed security requirements?",Yes,CSP-owned,Secure SDLC based on OWASP ASVS Level 2; threat modelling; peer review on every pull request,InfoSec §7,green,,VQ-02
AIS-05.2,Is testing automated when applicable and possible?,Yes,CSP-owned,Automated unit and integration tests in GitHub Actions on every change; failed checks block merging,InfoSec §7,green,,
AIS-07.1,Are application security vulnerabilities remediated following defined processes?,Yes,CSP-owned,"Remediation deadlines: critical 7 days, high 30 days, medium 90 days",InfoSec §8,green,,VQ-03
AIS-08.1,"Are processes, procedures, and technical measures defined and implemented to secure APIs?",Yes,CSP-owned,"OAuth 2.0 scoped tokens, rate limiting, input validation, WAF; API included in annual pentest",InfoSec §7,green,,
BCR-01.1,"Are business continuity management and operational resilience policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",Yes,CSP-owned,"IR and BC Policy v2.3 effective May 2026, reviewed annually",IR/BC §4,green,,VQ-04
BCR-06.1,Are the business continuity and operational resilience plans exercised and tested at least annually and when significant changes occur?,Yes,CSP-owned,"Tested annually: tabletop March 2026, DR failover test April 2026",IR/BC §4,green,,VQ-05
BCR-08.1,Are backups performed periodically?,Yes,Shared CSP and 3rd-party,Daily full DB backups plus transaction log backups every 10 min; point in time restore 35 days; geo-redundant in North Europe,IR/BC §5,orange,"OUTDATED: 2025 answer said weekly backups, 30 days, single region",VQ-06
BCR-08.2,"Is the confidentiality, integrity, and availability of the backup ensured?",Yes,Shared CSP and 3rd-party,"Backups AES-256 encrypted, geo-redundant, access limited to two named administrators",IR/BC §5,green,,
BCR-08.3,Can backups be restored appropriately for resiliency?,Yes,CSP-owned,Restore tests performed quarterly and documented,IR/BC §5,orange,OUTDATED: 2025 answer said restore test annually,VQ-07
BCR-11.1,"Are business-critical equipment supplemented with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance, in accordance with applicable industry standards?",Yes,Shared CSP and 3rd-party,Three availability zones in West Europe; geo-redundant backups and storage in North Europe (Ireland); regional DR failover,"IR/BC §6, InfoSec §4",orange,OUTDATED: 2025 answer was No (single region),VQ-08
CCC-03.1,"Is a change management procedure implemented to manage the risks associated with applying changes to assets, owned, controlled or used by the organization?",Yes,CSP-owned,All changes via peer reviewed pull request and automated pipeline; emergency changes approved by ISO and reviewed within 2 business days,InfoSec §7,green,,VQ-09
CCC-09.1,"Is a process to proactively roll back changes to a previously known ""good state"" defined and implemented in case of errors or security concerns?",Yes,CSP-owned,Blue-green deployment allows rollback to previous known good version within minutes,InfoSec §7,green,,
CEK-03.1,"Are data protection at-rest and in-transit, and where applicable in use, provided using cryptographic libraries certified to approved standards?",Yes,Shared CSP and 3rd-party,"AES-256 at rest (TDE, Storage Service Encryption); TLS 1.2+ in transit; vetted libraries only",InfoSec §5,green,,VQ-10
CEK-04.1,"Are encryption algorithms following industry standards utilized for protecting data, based on the data classification and associated risks?",Yes,CSP-owned,"Industry standard algorithms only (AES-256, TLS 1.2/1.3); custom cryptography prohibited",InfoSec §5,green,,VQ-11
CEK-08.1,Are service providers providing service customers with the capacity to manage their own data encryption keys?,No,CSP-owned,Customer managed keys (BYOK) not offered; all keys managed by Personivo in Azure Key Vault,InfoSec §5,green,CORRECT ANSWER IS NO: model must not say Yes,VQ-12
CEK-12.1,Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks and legal and regulatory requirements?,Yes,Shared CSP and 3rd-party,"Keys rotated automatically every 12 months, or immediately on suspected compromise",InfoSec §5,green,,
DCS-08.1,"Are physical security perimeters designed and implemented to safeguard personnel, data, and information systems?",Yes,3rd-party outsourced,No own data centers; physical security outsourced to Microsoft Azure; Microsoft ISO 27001 and SOC 2 reports reviewed annually,InfoSec §4,green,,VQ-13
DSP-03.1,"Is a data inventory created and maintained for sensitive, regulated and personal information (at a minimum)?",Yes,CSP-owned,"Record of processing activities (Art. 30 GDPR) as data inventory, reviewed annually",DataProt §5,green,,
DSP-04.1,Is data classified according to type and sensitivity levels?,Yes,CSP-owned,"Four levels: Public, Internal, Confidential, Strictly Confidential; customer data is Strictly Confidential",InfoSec §3,green,,VQ-14
DSP-05.1,Is data flow documentation created to identify what data is processed and where it is stored and transmitted?,Yes,CSP-owned,"Data flow diagrams maintained, reviewed annually and on significant change",DataProt §5,green,,
DSP-09.1,"Is a data protection impact assessment (DPIA) conducted when processing personal data and evaluating the origin, nature, particularity, and severity of risks according to any applicable laws, regulations and industry best practices?",Yes,CSP-owned,"DPIA for high risk processing; core platform DPIA 2024, reviewed November 2025",DataProt §6,green,,VQ-15
DSP-11.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable data subjects to request access to, modify, or delete personal data (per applicable laws and regulations)?",Yes,Shared CSP and CSC,"Requests forwarded to customer within 2 business days; admin tools to view, export, correct, delete",DataProt §7,green,,VQ-16
DSP-13.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for the transfer and sub-processing of personal data within the service supply chain (according to any applicable laws and regulations)?",Yes,CSP-owned,"Sub-processors Microsoft Ireland, Mailjet (FR), Sentry EU (DE) under DPAs; 30 days notice for new sub-processors with right to object",DataProt §4,green,,
DSP-15.1,"Is authorization from data owners obtained, and the associated risk managed, before replicating or using production data in non-production environments?",Yes,CSP-owned,Production data never used in non-production; synthetic data only,DataProt §8,green,,
DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements, applicable laws, and regulations?",Yes,CSP-owned,"Retention and deletion practices exist, BUT deletion period after contract end conflicts: Data Protection Policy says 30 days, InfoSec Policy says 90 days",DataProt §9 vs InfoSec §12,orange,CONTRADICTION between two policies,
DSP-18.1,"Does the service provider ensure that a procedure is in place and communicated to service customers for managing and responding to requests by law enforcement authorities for the disclosure of personal data, in accordance with applicable laws and regulations?",Unknown,CSP-owned,No document covers handling of law enforcement requests; must go to a human,None,red,UNCOVERED,
DSP-19.1,"Are processes, procedures, and technical measures defined and implemented to specify and document physical data locations, including locales where data is processed or backed up?",Yes,Shared CSP and 3rd-party,"Primary Azure West Europe (Netherlands), backups Azure North Europe (Ireland); no data outside EEA","DataProt §3, InfoSec §4",green,,VQ-17
GRC-05.1,Has an information security program (including programs of all relevant CCM domains) been developed and implemented?,Yes,CSP-owned,ISO 27001 certified ISMS; CTO acts as Information Security Officer,InfoSec §2,green,,VQ-18
GRC-08.1,Is contact established and maintained with related special interest groups and other relevant entities?,Unknown,CSP-owned,No document mentions contact with special interest groups or similar bodies; must go to a human,None,red,UNCOVERED,
HRS-01.1,"Are background verification policies and procedures of all new employees (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?",Yes,CSP-owned,VOG (Certificate of Conduct) required for all employees and contractors before start,InfoSec §11,green,,VQ-19
HRS-05.1,Are return procedures of organizationally-owned assets by terminated employees established and documented?,Yes,CSP-owned,Company equipment returned on last working day,InfoSec §11,green,,
HRS-10.1,"Are requirements for non-disclosure/confidentiality agreements reflecting organizational data protection needs and operational details identified, documented, and reviewed at planned intervals?",Yes,CSP-owned,Confidentiality clause in employment contracts; separate NDA for contractors,InfoSec §11,green,,VQ-20
HRS-11.1,"Is a security awareness training program for all employees of the organization established, documented, approved, communicated, applied, evaluated and maintained?",Yes,CSP-owned,Training at onboarding and annually; quarterly phishing simulations,InfoSec §11,green,,VQ-21
IAM-05.1,Is the least privilege principle employed when implementing information system access?,Yes,CSP-owned,"RBAC with least privilege; no standing production access; just in time access via PIM, max 4 hours",InfoSec §6,green,,VQ-22
IAM-07.1,Is a process in place to de-provision or modify identity access in a timely manner?,Yes,CSP-owned,Access revoked within 24 hours; immediately for involuntary terminations,InfoSec §6,green,,VQ-23
IAM-08.1,"Are reviews and revalidation of identity access for least privilege and separation of duties completed with a frequency commensurate with organizational risk tolerance, and at least annually or upon significant changes?",Yes,CSP-owned,Access reviews quarterly for production and privileged access; every six months for other systems,InfoSec §6,green,,
IAM-13.1,"Are processes, procedures, and technical measures for authenticating access to systems, application, and data assets including multifactor authentication for a least-privileged user and sensitive data access defined, implemented, and evaluated?",Yes,Shared CSP and CSC,"MFA mandatory for all workforce accounts; FIDO2 for privileged accounts; customer SSO and MFA, admins can enforce",InfoSec §6,green,,VQ-24
IAM-14.1,"Are processes, procedures, and technical measures for the secure management of authentication credentials, including passwords, defined, implemented, and evaluated?",Yes,CSP-owned,"Minimum 14 characters, breached password check, no forced rotation (NIST SP 800-63B); secrets in Key Vault",InfoSec §6,green,,VQ-25
IPY-02.1,Are service customers able to programmatically retrieve their data via an application interface(s) to enable interoperability and portability?,Yes,CSP-owned,REST API and full export in CSV and JSON,InfoSec §12,green,,
IPY-04.1,"Do agreements include provisions specifying service customers' data access upon contract termination, and have the following? a. Data format b. Duration data will be stored c. Scope of the data retained and made available to the service customers d. Data deletion policy",Yes,CSP-owned,"Export possible after termination, BUT retention period conflicts: InfoSec Policy says 90 days, Data Protection Policy says 30 days",InfoSec §12 vs DataProt §9,orange,CONTRADICTION between two policies,
I&S-03.2,"Are communications between environments, services, and applications encrypted?",Yes,CSP-owned,TLS 1.2+ for all external and internal service to service traffic,InfoSec §5,green,,VQ-26
